Company,Company Path,Industry,Country,employees,marketcap,revenue,earnings,operating-margin,total-assets,total-liabilities,total-debt,net-assets,pe-ratio,ps-ratio
ServiceNow,https://companiesmarketcap.com/servicenow,Technology,USA,20433,,,,,,,,,,
Xerox,https://companiesmarketcap.com/xerox,Technology,USA,20100,,,,,,,,,,
Broadcom,https://companiesmarketcap.com/broadcom,Technology,USA,20000,,,,,,,,,,
United Microelectronics,https://companiesmarketcap.com/united-microelectronics,Technology,Taiwan,20000,,,,,,,,,,
CVS Health,https://companiesmarketcap.com/cvs-health,Pharmaceuticals,USA,219000,$87.90 Billion,$357.77 B,$13.83 B,1.80%,$249.72 B,$173.09 B,$79.38 B,$76.63 B,10.5,0.2457
Walgreens Boots Alliance,https://companiesmarketcap.com/walgreens-boots-alliance,Pharmaceuticals,USA,206000,$15.59 Billion,$144.59 B,-$13.67 B,3.00%,$97.82 B,$70.06 B,$33.73 B,$27.75 B,-4.71,0.1078
Johnson & Johnson,https://companiesmarketcap.com/johnson-and-johnson,Pharmaceuticals,USA,152700,,,,,,,,,,
Sinopharm,https://companiesmarketcap.com/sinopharm,Pharmaceuticals,China,114766,,,,,,,,,,
Roche,https://companiesmarketcap.com/roche,Pharmaceuticals,Switzerland,103605,,,,,,,,,,
Novartis,https://companiesmarketcap.com/novartis,Pharmaceuticals,Switzerland,101703,,,,,,,,,,
Bayer,https://companiesmarketcap.com/bayer,Pharmaceuticals,Germany,100873,,,,,,,,,,
Sanofi,https://companiesmarketcap.com/sanofi,Pharmaceuticals,France,91573,,,,,,,,,,
AstraZeneca,https://companiesmarketcap.com/astrazeneca,Pharmaceuticals,UK,83500,,,,,,,,,,
Pfizer,https://companiesmarketcap.com/pfizer,Pharmaceuticals,USA,83000,,,,,,,,,,
GlaxoSmithKline,https://companiesmarketcap.com/glaxo-smith-kline,Pharmaceuticals,UK,69400,,,,,,,,,,
Merck,https://companiesmarketcap.com/merck,Pharmaceuticals,USA,67000,,,,,,,,,,
China Resources Pharmaceutical Group,https://companiesmarketcap.com/china-resources-pharmaceutical-group,Pharmaceuticals,Hong Kong,67000,,,,,,,,,,
Merck KGaA,https://companiesmarketcap.com/merck-kgaa,Pharmaceuticals,Germany,63297,,,,,,,,,,
Novo Nordisk,https://companiesmarketcap.com/novo-nordisk,Pharmaceuticals,Denmark,61412,,,,,,,,,,
LabCorp,https://companiesmarketcap.com/labcorp,Pharmaceuticals,USA,60000,,,,,,,,,,
Baxter,https://companiesmarketcap.com/baxter,Pharmaceuticals,USA,60000,,,,,,,,,,
AbbVie,https://companiesmarketcap.com/abbvie,Pharmaceuticals,USA,50000,,,,,,,,,,
Takeda Pharmaceutical,https://companiesmarketcap.com/takeda-pharmaceutical,Pharmaceuticals,Japan,49095,,,,,,,,,,
WuXi AppTec,https://companiesmarketcap.com/wuxi-apptec,Pharmaceuticals,China,43800,,,,,,,,,,
